field_1,Venue,Latitude,Longitude,Venue Cate,geometry,OBJECTID,WEB_URL,NAME,NEIGHBORHO,Shape_Leng,Shape_Area,TYPE,COLOR,APPR_DATE,UPDATE_PLA,ADOPTED,count
"529",MLK Deli,38.843559999999997,-76.999808000000002,Deli / Bodega,POINT (38.84356 -76.999808),"1",http://planning.dc.gov/,Cluster 39,"Congress Heights, Bellevue, Washington Highlands",10711.668009757177060,4886462.547938360832632,Original,,,,,"0"
"604",MLK Deli,38.843559999999997,-76.999808000000002,Deli / Bodega,POINT (38.84356 -76.999808),"1",http://planning.dc.gov/,Cluster 39,"Congress Heights, Bellevue, Washington Highlands",10711.668009757177060,4886462.547938360832632,Original,,,,,"0"
"618",Domino's Pizza,38.830851000000003,-77.008077999999998,Pizza Place,POINT (38.830851 -77.008078),"1",http://planning.dc.gov/,Cluster 39,"Congress Heights, Bellevue, Washington Highlands",10711.668009757177060,4886462.547938360832632,Original,,,,,"0"
"626",Popeyes Louisiana Kitchen,38.844926115800362,-76.997011619530355,Fried Chicken Joint,POINT (38.84492611580036 -76.99701161953035),"1",http://planning.dc.gov/,Cluster 39,"Congress Heights, Bellevue, Washington Highlands",10711.668009757177060,4886462.547938360832632,Original,,,,,"0"
"521",IHOP,38.846054023016293,-76.982681072417563,Breakfast Spot,POINT (38.84605402301629 -76.98268107241756),"2",http://planning.dc.gov/,Cluster 38,"Douglas, Shipley Terrace",8229.486324125991814,2367958.025682514067739,Original,,,,,"0"
"600",IHOP,38.846054023016293,-76.982681072417563,Breakfast Spot,POINT (38.84605402301629 -76.98268107241756),"2",http://planning.dc.gov/,Cluster 38,"Douglas, Shipley Terrace",8229.486324125991814,2367958.025682514067739,Original,,,,,"0"
"619",Subway,38.846240067847560,-76.980920340286161,Sandwich Place,POINT (38.84624006784756 -76.98092034028616),"2",http://planning.dc.gov/,Cluster 38,"Douglas, Shipley Terrace",8229.486324125991814,2367958.025682514067739,Original,,,,,"0"
"63",Slipstream,38.879384512781790,-77.005403011201281,Café,POINT (38.87938451278179 -77.00540301120128),"4",http://planning.dc.gov/,Cluster 27,"Near Southeast, Navy Yard",7286.968901728663695,1619166.894219854148105,Original,,,,,"0"
"65",Cornercopia,38.878338874822482,-77.002099688535168,Deli / Bodega,POINT (38.87833887482248 -77.00209968853517),"4",http://planning.dc.gov/,Cluster 27,"Near Southeast, Navy Yard",7286.968901728663695,1619166.894219854148105,Original,,,,,"0"
"68",RASA,38.875578179919238,-77.006210088729858,Indian Restaurant,POINT (38.87557817991924 -77.00621008872986),"4",http://planning.dc.gov/,Cluster 27,"Near Southeast, Navy Yard",7286.968901728663695,1619166.894219854148105,Original,,,,,"0"
"70",Osteria Morini,38.873468000000003,-77.001579000000007,Italian Restaurant,POINT (38.873468 -77.00157900000001),"4",http://planning.dc.gov/,Cluster 27,"Near Southeast, Navy Yard",7286.968901728663695,1619166.894219854148105,Original,,,,,"0"
"72",Bethesda Bagels,38.876576476228770,-77.004885032969455,Bagel Shop,POINT (38.87657647622877 -77.00488503296945),"4",http://planning.dc.gov/,Cluster 27,"Near Southeast, Navy Yard",7286.968901728663695,1619166.894219854148105,Original,,,,,"0"
"73",CAVA,38.876640999999999,-77.007192000000003,Mediterranean Restaurant,POINT (38.876641 -77.007192),"4",http://planning.dc.gov/,Cluster 27,"Near Southeast, Navy Yard",7286.968901728663695,1619166.894219854148105,Original,,,,,"0"
"74",All-Purpose,38.871005122342559,-77.006555968306060,Pizza Place,POINT (38.87100512234256 -77.00655596830606),"4",http://planning.dc.gov/,Cluster 27,"Near Southeast, Navy Yard",7286.968901728663695,1619166.894219854148105,Original,,,,,"0"
"77",BonChon Chicken,38.877730999999997,-77.007726000000005,Korean Restaurant,POINT (38.877731 -77.00772600000001),"4",http://planning.dc.gov/,Cluster 27,"Near Southeast, Navy Yard",7286.968901728663695,1619166.894219854148105,Original,,,,,"0"
